project_id,health
367,0.17816744833195794
390,0.008209985274760056
418,0.003371730045690973
750,0.020838215570589597
772,0.1883013137451748
961,0.12261159808988256
1085,0.007824800533285051
1142,0.050885640962042136
1173,0.000348857725803903
1282,0.012637704103207529
1318,0.027159746790208664
1386,0.021525763255205478
1486,0.6130659634448179
1729,0.05126817027462656
1799,0.3304081885183403
1891,0.11103544098957004
2160,0.1018704051442412
2202,0.02290183026641618
3816,0.0155075932133204
3894,0.20119630630231844
3923,0.005323996515834048
4023,0.19667263411311317
4485,0.04296180967602391
5128,0.040985272779022884
5142,0.027946619771088716
5219,0.12987371025955852
5373,0.006166995861036247
5455,0.007132624786984178
5854,0.004905096201125913
6223,0.03199512552483979
6995,0.09068742714357132
7537,0.032594278057017013
8024,0.11873181502131167
8127,0.04789921821519176
8373,0.007552243569724109
8416,0.02015189706245257
8890,0.13965712579798442
8975,0.00017502351656453334
9241,0.00949628640831323
9626,0.009525778094883123
9793,0.017146914378053543
10679,0.011063511082735568
10913,0.08678159866431905
11177,0.008767093291079752
11250,0.2062403035918178
11638,0.054895615642873485
11820,0.017943166446842174
12049,0.01077017526288975
12201,0.019383761831022972
12392,0.009538123452310546
13285,0.005799150130546773
14287,0.02831413706316284
14642,0.047534843407420924
14692,0.0007229613919488816
14901,0.3490187704055139
18217,0.016090239741186754
19535,0.0053884743307539215
21187,0.09314039274584585
21352,0.06756603974035238
22841,0.004060093271280694
23052,0.03477757944385675
24293,0.020811160771284535
25302,0.0018082135189039772
26366,0.019643152815547175
26624,0.016790843209614208
27142,0.01538518891713869
27252,0.025175717530915014
27480,0.009987802186500408
27597,0.11779677931444843
29253,0.039386330379317665
31094,0.06101000199470921
31723,0.07756701665131813
34279,0.10724445875268891
34802,0.00463766550742613
36943,0.0280640197474738
37492,0.009852827808224267
38701,0.006869312397519714
39891,0.18618872686446536
41728,0.007292731295796137
41971,0.05351720555610547
44604,0.03948114605131842
47521,0.01692896410012534
50113,0.033197454164471174
52097,0.008501854957625727
54025,0.16285102192853432
54581,0.09696205268014543
55068,0.006462568846675059
56186,0.020418439932731562
58572,0.0053317128529605
63123,0.14651774579321794
64630,0.028848737311874848
67206,0.02657585280619494
69206,0.00861619223624234
69511,0.009998342059906785
78397,0.011223905296131154
81748,0.00512429533774561
82195,0.17175542960890733
82515,0.04170621828346954
83157,0.17838069649916283
113276,0.00015985400459433036
129339,0.01959325117586465
135443,0.012384214255748384
138026,0.007491474098319742
149843,0.006723467835035467
162964,0.05874182081846516
165082,0.01423338974705005
174870,0.02417930242492554
181526,0.011666335099500446
187885,0.0005246882448654503
211549,0.0008446969090834474
215558,0.057543339385767736
343571,0.026404082761442394
395523,0.00373157698149445
407274,0.004694521063002852
407318,0.011465535725516904
424503,0.014495128242829657
607234,0.09009562166889062
653481,0.007490956137255538
